0	9	2
0	15	2
0	39	2
0	44	2
0	55	1
0	63	2
0	105	1
0	107	2
0	125	2
1	15	1
1	21	2
1	32	1
1	44	2
1	55	2
1	59	2
1	87	2
2	14	2
2	30	2
2	62	2
2	82	1
2	111	1
2	126	1
3	105	1
4	13	2
4	23	1
4	30	2
4	42	2
4	95	1
4	110	2
5	0	2
5	71	1
5	97	2
5	110	2
5	126	1
6	8	1
6	9	2
6	19	1
6	20	2
6	50	1
6	75	1
7	10	2
7	14	1
7	41	2
7	44	1
7	51	1
7	80	2
7	88	2
7	120	2
7	122	2
8	9	2
8	104	1
8	106	2
8	117	2
9	16	2
9	20	1
9	33	2
9	42	2
9	63	1
9	69	2
9	81	1
9	94	1
9	109	1
9	110	2
9	115	2
9	117	2
10	12	2
10	40	1
10	43	2
10	81	1
10	83	1
11	0	2
11	31	1
11	51	1
11	124	2
12	15	2
12	28	1
12	34	2
12	39	1
12	85	2
12	89	1
12	102	1
12	108	1
13	13	2
13	17	2
13	19	1
13	20	2
13	42	2
13	48	1
13	62	2
13	64	1
14	24	1
14	59	1
14	65	1
14	77	2
14	91	2
14	93	1
14	94	2
14	120	2
14	121	2
15	1	1
15	88	2
15	97	2
15	108	2
16	22	2
16	53	1
16	85	2
17	6	2
17	14	2
17	19	2
17	48	2
17	60	2
17	68	2
17	80	1
17	90	1
17	112	2
18	8	2
18	19	1
18	49	1
18	60	1
18	63	2
18	66	1
18	83	2
19	80	1
19	99	2
20	31	1
20	66	1
20	70	1
20	89	2
20	102	2
20	108	2
20	109	1
21	22	1
21	38	1
21	83	1
21	84	2
21	87	1
21	110	2
21	126	2
22	13	2
22	21	2
22	41	1
22	52	2
22	53	2
22	59	1
22	86	1
22	88	1
22	121	2
23	11	2
23	88	2
24	11	2
24	70	1
24	77	1
24	82	1
24	94	2
25	5	1
25	24	1
25	34	2
25	48	2
25	60	2
25	66	2
25	84	2
26	29	2
26	50	2
26	70	1
26	76	1
26	96	2
26	102	1
26	115	1
26	117	2
26	126	1
26	127	1
27	9	2
27	10	1
27	81	1
27	89	2
27	105	2
27	118	1
27	119	1
28	48	1
28	74	1
28	91	2
28	111	2
29	6	2
29	25	1
29	40	1
29	58	2
29	60	2
29	69	2
29	77	2
29	111	1
29	116	2
30	14	1
30	40	1
30	76	2
30	117	1
31	28	2
31	29	2
31	65	2
31	108	2
31	109	1
31	127	1
32	10	1
32	70	2
32	74	2
32	77	1
32	94	2
32	97	1
33	6	2
33	12	2
33	19	2
33	27	2
33	29	1
33	40	1
33	53	2
33	60	2
33	68	1
33	116	1
34	10	1
34	18	1
34	52	2
34	57	1
34	62	2
34	87	1
34	93	2
34	122	2
34	124	2
35	25	2
35	66	1
35	71	2
35	92	2
35	124	2
36	10	2
36	17	1
36	28	2
36	43	1
36	53	1
36	55	1
36	66	2
36	93	1
37	20	2
37	22	1
37	61	2
37	67	2
37	120	1
38	14	1
38	25	1
38	40	2
38	55	2
38	67	1
38	73	2
38	115	1
39	4	2
39	7	1
39	17	2
39	61	1
39	70	1
39	78	2
39	90	2
39	119	1
39	123	1
40	4	2
40	19	2
40	21	2
40	26	1
40	31	2
40	38	2
40	45	1
40	56	1
40	72	1
40	74	2
40	77	1
41	6	1
41	51	2
41	56	2
41	88	1
