0	1	2
0	4	2
0	28	1
0	75	2
0	107	2
0	114	2
0	116	1
0	122	1
0	140	2
0	146	2
1	36	2
1	49	2
1	51	2
1	76	2
1	87	2
1	95	2
2	22	1
2	48	1
2	97	2
2	119	1
2	125	1
2	126	2
3	5	2
3	63	1
3	67	2
3	84	2
3	87	1
3	126	2
4	51	1
4	70	1
4	85	1
4	92	2
4	111	1
4	113	1
4	122	2
4	133	1
4	136	2
4	137	1
4	145	1
5	6	2
5	13	1
5	23	1
5	62	1
5	92	2
5	121	2
6	46	2
6	77	1
6	89	1
6	95	1
6	146	1
6	148	1
7	36	1
7	52	1
7	54	1
7	56	2
7	57	1
7	74	1
8	23	1
8	87	2
8	114	2
8	132	2
9	3	2
9	6	2
9	28	1
9	49	1
9	65	2
9	75	2
9	101	2
9	124	1
9	126	1
9	128	2
9	140	2
10	1	2
10	15	1
10	50	2
10	62	2
11	28	2
11	42	1
11	84	1
11	92	2
11	105	2
11	131	2
11	146	2
11	149	2
12	8	1
12	68	1
12	98	1
12	106	1
12	131	1
13	11	2
13	47	2
13	63	2
13	107	2
13	140	2
13	147	2
14	51	2
14	56	2
14	68	2
14	81	2
14	121	1
15	56	1
15	58	2
15	89	2
15	115	1
15	125	2
16	1	1
16	2	2
16	9	1
16	21	2
16	50	2
16	65	2
16	92	1
16	96	2
16	124	2
17	31	2
17	61	1
17	96	2
18	12	2
18	30	1
18	74	2
18	76	1
18	124	1
19	12	2
19	55	1
19	101	2
19	105	1
19	120	1
19	140	2
19	144	2
20	10	2
20	20	1
20	22	1
20	24	2
20	52	1
20	76	1
20	81	2
20	88	2
20	103	2
20	134	1
20	142	1
21	20	2
21	64	2
21	71	2
21	72	1
21	77	1
21	92	2
21	137	1
21	149	2
22	6	2
22	27	2
22	77	1
22	85	2
22	112	1
22	128	1
23	35	2
23	37	2
23	38	1
23	55	1
23	58	2
23	60	2
23	122	2
23	135	2
23	141	1
24	6	2
24	34	1
24	38	2
24	39	1
24	46	2
24	57	2
24	68	1
24	78	1
24	104	1
24	105	1
24	114	2
24	121	1
25	10	2
25	42	1
25	71	2
25	82	1
25	91	1
25	95	1
25	102	1
25	106	2
26	6	1
26	36	2
26	40	2
26	56	2
26	61	2
26	81	1
26	106	1
26	112	1
27	0	2
27	7	2
27	31	1
27	50	1
27	63	1
27	107	2
27	139	2
28	14	1
28	31	2
28	39	2
28	63	1
28	113	1
28	119	2
28	125	2
28	131	1
28	141	1
29	13	1
29	32	1
29	51	2
29	64	1
29	73	1
29	78	2
29	88	1
29	123	1
29	128	1
30	4	2
30	12	2
30	18	2
30	53	1
30	104	1
30	121	1
30	126	1
30	134	1
31	77	1
31	120	2
31	126	1
31	147	2
32	0	2
32	15	2
32	51	2
32	74	2
32	136	1
33	13	1
33	59	2
33	76	1
33	104	2
33	132	2
33	139	1
34	6	1
34	21	2
34	52	2
34	79	1
34	85	2
34	93	2
34	125	1
34	143	2
35	0	2
35	44	1
35	70	1
35	78	2
35	136	2
36	1	2
36	30	1
36	40	1
36	61	1
36	106	2
36	125	2
36	128	2
37	16	2
37	25	1
37	58	2
37	64	1
37	89	2
37	123	1
37	129	1
37	130	2
37	133	1
37	134	2
37	136	1
38	31	2
38	32	2
38	35	2
38	56	2
38	58	1
38	62	1
38	76	2
38	85	2
38	125	1
39	85	2
39	101	2
39	121	1
40	59	2
40	71	1
40	77	1
40	94	2
40	114	1
41	38	1
41	56	2
41	79	1
41	85	1
41	88	2
41	117	2
41	118	2
41	128	2
41	145	2
42	73	2
42	84	2
42	95	2
42	112	2
42	129	2
42	141	2
43	35	1
43	40	2
43	47	1
43	62	1
43	84	2
43	106	2
43	108	2
43	136	2
44	10	2
44	12	1
44	15	2
44	20	2
44	37	2
44	68	1
44	75	1
44	85	1
44	89	1
44	97	2
44	142	1
44	145	1
45	5	2
45	33	2
45	37	2
45	55	2
45	57	1
45	59	2
45	62	1
46	6	2
46	11	1
46	24	1
46	42	2
46	77	2
46	93	2
46	134	2
46	149	1
47	2	2
47	26	1
47	39	2
47	69	2
47	114	1
47	126	2
48	1	1
48	21	2
48	38	2
48	64	2
48	67	1
48	85	2
48	91	2
48	117	1
48	131	1
48	141	2
48	143	2
49	6	2
49	18	1
49	29	2
49	51	1
49	58	1
49	60	2
49	96	1
50	8	1
50	42	1
50	90	1
50	91	2
50	97	2
50	141	1
51	19	2
51	41	1
51	65	2
51	123	1
52	17	1
52	23	1
52	25	1
52	28	2
52	103	1
52	106	2
53	19	2
53	22	2
53	43	1
53	46	2
53	48	1
53	57	1
53	84	1
53	95	1
53	101	1
53	120	2
53	126	1
53	146	2
54	6	1
54	22	2
54	28	1
54	81	2
54	108	2
54	130	2
55	45	1
55	67	2
55	75	2
55	127	1
56	9	1
56	23	1
56	33	1
56	55	2
56	115	1
56	141	1
57	7	2
57	17	2
57	23	1
57	38	1
57	43	1
57	54	1
57	143	2
58	31	1
58	84	1
58	94	2
58	126	1
58	141	2
59	32	1
59	39	1
59	47	2
59	135	2
59	147	2
60	20	2
60	21	1
60	45	1
60	68	1
60	71	2
60	78	1
60	90	2
60	108	2
61	53	1
61	81	1
61	90	2
61	107	2
61	112	2
61	144	1
61	146	2
62	13	1
62	45	1
62	52	1
62	82	2
62	90	2
62	97	1
62	120	1
62	142	2
62	149	1
63	2	1
63	19	1
63	22	1
63	34	1
63	56	1
63	62	2
63	77	2
63	85	1
63	106	1
63	117	2
63	132	2
63	140	1
64	51	2
64	89	1
64	92	1
64	100	2
64	108	2
65	0	2
65	6	1
65	31	2
65	38	2
65	46	2
65	51	1
65	73	2
65	74	2
65	82	1
65	115	2
65	130	1
66	6	2
66	8	2
66	17	2
66	65	2
66	73	2
66	74	1
66	101	1
66	111	1
66	115	2
66	125	2
66	139	1
67	20	2
67	21	2
67	48	1
67	54	1
67	62	1
67	85	2
67	90	1
67	97	2
67	124	2
67	132	2
67	143	2
67	148	1
68	10	2
68	48	1
68	71	2
68	81	1
68	83	1
68	90	2
69	1	2
69	22	1
69	26	1
69	34	2
69	56	1
69	63	2
69	81	1
69	91	1
69	93	1
69	125	2
69	129	2
69	134	1
70	16	2
70	44	2
70	56	2
70	73	2
70	80	2
71	11	2
71	29	2
71	101	1
71	107	2
71	135	2
71	136	2
72	30	2
72	31	1
72	32	1
72	33	2
72	37	2
72	55	2
72	78	1
72	88	1
72	103	2
72	133	1
72	135	2
72	149	2
73	19	2
73	23	2
73	40	2
73	66	2
73	71	2
73	92	2
73	114	2
73	128	1
73	130	1
73	135	1
73	141	1
74	30	2
74	33	2
74	42	1
74	80	1
74	97	1
74	107	1
75	35	2
75	52	2
75	71	2
75	80	2
75	119	1
75	123	1
75	129	1
75	139	1
76	24	1
76	52	2
76	57	2
76	94	1
76	108	2
76	109	1
76	120	2
77	34	2
77	37	1
77	81	2
77	83	2
77	115	2
77	142	2
77	148	2
78	48	2
78	92	1
78	117	2
78	137	2
79	1	1
79	9	1
79	10	2
79	19	2
79	33	2
79	117	2
79	125	1
79	145	2
80	46	2
80	104	2
81	22	1
81	25	2
81	35	2
81	49	2
81	62	2
81	83	1
81	107	2
81	122	2
81	138	1
82	2	1
82	25	2
82	33	1
82	36	2
82	47	1
83	3	2
83	23	2
83	45	1
83	62	2
83	101	1
83	108	2
83	142	1
84	0	2
84	16	2
84	19	2
84	27	1
84	66	1
84	72	1
84	76	1
84	78	1
84	107	2
84	118	1
85	23	2
85	30	2
85	44	2
85	46	2
85	54	1
85	62	2
85	80	1
