0	0	1
0	39	2
0	42	1
0	53	2
0	55	2
0	68	2
0	75	2
0	79	2
0	118	2
1	22	2
1	50	1
1	51	2
1	53	2
1	65	2
1	85	2
1	89	1
2	4	1
2	20	2
2	80	1
2	111	1
2	116	2
2	122	2
3	10	1
4	17	2
4	20	2
4	69	2
4	77	2
4	112	1
4	121	1
5	53	2
5	56	1
5	95	2
5	97	2
5	127	1
6	47	1
6	51	2
6	69	1
6	92	2
6	101	1
6	126	1
7	0	1
7	13	2
7	41	1
7	50	1
7	54	2
7	62	2
7	77	2
7	81	2
7	98	2
8	14	2
8	59	2
8	123	1
8	127	2
9	18	2
9	27	2
9	30	2
9	44	2
9	53	1
9	80	1
9	82	1
9	97	1
9	100	2
9	111	2
9	115	2
9	117	1
10	21	2
10	25	1
10	49	1
10	90	1
10	118	2
11	5	2
11	26	1
11	48	1
11	71	2
12	4	1
12	11	2
12	49	2
12	53	1
12	70	1
12	86	1
12	112	2
12	117	1
13	1	2
13	11	1
13	30	2
13	44	2
13	73	2
13	94	2
13	99	1
13	117	1
14	11	1
14	26	1
14	48	1
14	70	2
14	71	2
14	93	1
14	104	2
14	113	2
14	117	2
15	11	2
15	46	2
15	88	2
15	101	1
16	24	2
16	28	2
16	120	1
17	10	2
17	14	2
17	23	1
17	30	2
17	49	2
17	55	2
17	85	2
17	90	1
17	105	2
18	15	1
18	26	2
18	28	2
18	29	1
18	74	2
18	87	1
18	101	1
19	14	2
19	71	1
20	1	2
20	6	2
20	14	1
20	42	2
20	53	1
20	59	1
20	109	1
21	13	1
21	42	1
21	76	1
21	79	2
21	87	1
21	105	2
21	111	2
22	9	2
22	20	1
22	55	1
22	56	2
22	69	1
22	87	2
22	115	2
22	120	2
22	122	1
23	40	2
23	96	2
24	12	2
24	60	1
24	68	1
24	110	1
24	123	2
25	24	2
25	32	2
25	34	1
25	41	2
25	66	1
25	72	2
25	91	2
26	6	1
26	17	2
26	23	1
26	24	2
26	74	1
26	86	1
26	92	1
26	106	2
26	110	1
26	123	2
27	14	1
27	18	1
27	35	2
27	64	1
27	65	2
27	72	1
27	85	2
28	5	2
28	26	2
28	52	1
28	69	1
29	1	2
29	6	1
29	38	2
29	43	1
29	75	2
29	83	2
29	85	1
29	93	2
29	110	2
30	4	1
30	8	2
30	14	1
30	41	1
31	17	2
31	94	2
31	98	2
31	101	1
31	103	1
31	109	2
32	13	1
32	22	1
32	39	1
32	51	2
32	53	2
32	65	2
33	0	2
33	19	1
33	23	1
33	30	2
33	43	1
33	63	2
33	66	2
33	100	2
33	102	1
33	108	2
34	11	2
34	20	1
34	30	2
34	33	2
34	63	1
34	85	2
34	98	1
34	99	1
34	108	2
35	10	2
35	16	2
35	74	2
35	117	2
35	126	1
36	5	2
36	27	2
36	53	1
36	56	1
36	58	1
36	60	1
36	75	1
36	76	2
37	6	2
37	15	1
37	48	1
37	50	2
37	120	2
38	9	1
38	33	2
38	42	2
38	88	1
38	115	2
38	120	1
38	127	1
39	2	2
39	14	1
39	20	1
39	61	1
39	63	2
39	65	2
39	77	1
39	87	1
39	126	2
40	27	1
40	29	1
40	32	2
40	50	2
40	70	1
40	75	2
40	86	1
40	87	1
40	89	2
40	102	2
40	119	2
41	14	1
41	19	2
41	58	2
41	62	1
41	70	2
42	15	1
42	64	1
42	118	2
43	7	2
43	14	2
43	15	2
43	26	1
43	28	2
43	53	2
43	63	2
